,object  ,precipitant,Effect,Related Drugs,Options
10,DIGOXIN,ITRACONAZOLE    ,Increased digoxin concentrations and risk of digoxin toxicity,"·Voriconazole (Vfend®) and the non-azole antifungal, terbinafine (Lamisil®), do not appear to inhibit P-glycoprotein ·Data are lacking regarding fluconazole","Take Precautions ·Consider Alternatives: Consider alternative antifungal agents (e.g., voriconazole or terbinafine) ·Monitor: If alternatives are not appropriate, monitor patients closely for evidence of digoxin toxicity (e.g., nausea, malaise, fatigue visual, changes, headache, arrhythmias), with downward digoxin dosage adjustments as necessary. Also monitor for altered digoxin effect when itraconazole, ketoconazole, or posaconazole are changed in dosage or discontinued. If digoxin is started in the presence of one of these agents, consider conservative initial digoxin dosing."
11,DIGOXIN,KETOCONAZOLE    ,Increased digoxin concentrations and risk of digoxin toxicity,"·Voriconazole (Vfend®) and the non-azole antifungal, terbinafine (Lamisil®), do not appear to inhibit P-glycoprotein ·Data are lacking regarding fluconazole","Take Precautions ·Consider Alternatives: Consider alternative antifungal agents (e.g., voriconazole or terbinafine) ·Monitor: If alternatives are not appropriate, monitor patients closely for evidence of digoxin toxicity (e.g., nausea, malaise, fatigue visual, changes, headache, arrhythmias), with downward digoxin dosage adjustments as necessary. Also monitor for altered digoxin effect when itraconazole, ketoconazole, or posaconazole are changed in dosage or discontinued. If digoxin is started in the presence of one of these agents, consider conservative initial digoxin dosing."
12,DIGOXIN,POSACONAZOLE    ,Increased digoxin concentrations and risk of digoxin toxicity,"·Voriconazole (Vfend®) and the non-azole antifungal, terbinafine (Lamisil®), do not appear to inhibit P-glycoprotein ·Data are lacking regarding fluconazole","Take Precautions ·Consider Alternatives: Consider alternative antifungal agents (e.g., voriconazole or terbinafine) ·Monitor: If alternatives are not appropriate, monitor patients closely for evidence of digoxin toxicity (e.g., nausea, malaise, fatigue visual, changes, headache, arrhythmias), with downward digoxin dosage adjustments as necessary. Also monitor for altered digoxin effect when itraconazole, ketoconazole, or posaconazole are changed in dosage or discontinued. If digoxin is started in the presence of one of these agents, consider conservative initial digoxin dosing."
13,SIMVASTATIN,AMIODARONE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4; however cases of myopathy with CYP3A4 inhibitors have been reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternatives: Preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. Predisposing risk factors for rhabdomyolysis include advanced age (>65 years), uncontrolled hypothyroidism, and renal impairment. ·Monitor: If alternative statins are not appropriate, monitor the patient for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine). The simvastatin dose should not exceed 20 mg/day in combination with amiodarone."
14,ATORVASTATIN CALCIUM,ITRACONAZOLE    ,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
15,ATORVASTATIN CALCIUM,KETOCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
16,ATORVASTATIN CALCIUM,POSACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
17,ATORVASTATIN CALCIUM,VORICONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
18,ATORVASTATIN CALCIUM,FLUCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
19,FLUVASTATIN,ITRACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
20,FLUVASTATIN,KETOCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
21,FLUVASTATIN,POSACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
22,FLUVASTATIN,VORICONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
23,FLUVASTATIN,FLUCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
24,LOVASTATIN,ITRACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
25,LOVASTATIN,KETOCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
26,LOVASTATIN,POSACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
27,LOVASTATIN,VORICONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
28,LOVASTATIN,FLUCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
29,PRAVASTATIN,ITRACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
30,PRAVASTATIN,KETOCONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
31,PRAVASTATIN,POSACONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
32,PRAVASTATIN,VORICONAZOLE,Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis,"Antifungal Agents ·Terbinafine (Lamisil®) does not inhibit CYP3A4 ·Ciclopirox nail lacquer (Penlac®) is not appreciably absorbed Statins ·Atorvastatin (Lipitor®) undergoes less metabolism by CYP3A4 but cases of myopathy with CYP3A4 inhibitors reported ·Fluvastatin (Lescol®), rosuvastatin (Crestor®), and pravastatin (Pravachol®) arenot metabolized by CYP3A4","Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
